,review,sentiment
19001,"Oh my god, this movie is incredible, it's the baddest movie ever and I know what I am talking about! I am a scary movies fan!<br /><br />The story is totally silly, a group of adults decide to make a party and a silly guy with an awful mask comes and kills everybody... the dialogs are a kind of parody, worst, they're just talking about sex with a so bad accent. The end is (oh!!!!!!) discover by yourself! you will be really really surprised... (not possible! yes it is!) and surprise the movie is just 58minutes. (not possible (bis) yes it is!) Worst than House IV and Howling V.<br /><br />To put it in a nutshell, forget it forever!!!",negative
39598,"This film by Friðrik Þór, director of Children of Nature, is powerful. It has great music by Sigurrós and good acting. It shows how sad insanity as a disease can be. There are many good jokes but the humor is dark. If that is not a problem then you should see this film. Note though this is not a comedy but a drama.",positive
33811,"This is a kind of movie that will stay with you for a long time. Soha Ali and Abhay Deol both look very beautiful. Soha reminds you so much of her mother Sharmila Tagore. Abhay is a born actor and will rise a lot in the coming future.<br /><br />The ending of the movie is very different from most movies. In a way you are left unsatisfied but if you really think about it in real terms, you realize that the only sensible ending was the ending shown in the movie. Otherwise, it would have been gross injustice to everyone. <br /><br />The movie is about a professional witness who comes across a girl waiting to get married in court. Her boyfriend does not show up and she ends up being helped by the witness. Slowly slowly, over the time, he falls in love for her. It is not clear if she has similar feelings for him or not. Watch the movie for complete details. <br /><br />The movie really belongs to Abhay. I look forward to seeing more movies from him. Soha is pretty but did not speak much in the movie. Her eyes, her innocence did most of the talking.",positive
12283,"How do comments like the one that was the headline by high school girls even make it on this site, this was the stupidest movie I have ever seen, it was ridiculous, how can any moron sit there and say that just because a movie makes you jump it is a good movie, that might be the most idiotic thing I have ever heard, I could sneak up behind you and go ""Boo"" and it would make you jump, but that does not mean I am qualified to write or direct a movie, not to mention ""they tied everything together at the end"" is not a good reason for a movie to be well received. What kind of movie would it be if they didn't tie everything together, I guess that would make it half a movie, not a whole movie. So basically this idiot girl is complimenting them for finishing the movie, well I love how the youth of today hold the media and production companies to such a high standard. No wonder the political system of this country can get away with whatever they want, we have idiots like that coming up in our country, what would happen if this girl actually ends up leading something someday, that is a scary thought. Get a life and go watch a real movie sometime, try Shawshank Redemption or On the Waterfront, or something like that, and don't comment that it was ""boring"" after you see it, just use what little brain God gave you to analyze it a little.",negative
22956,"Cash (Now played by Khrystyne Haje in for Angelina Jolie) has wandered to a post apocalypse wasteland (after her protector has died from old age, said protector was played by Elias Koteas, an actual decent actor) and now she finds that people wander through the rubble looking for cyborgs to trade for scrap metal and cash. She leads a group of burned out cyborgs (That includes William Katt, Evan Lurie and a human scientist played by Zach Galligan) against bounty hunter Richard Lynch. Malcolm McDowell has two minutes of screen time as Lynch's employer. Cyborg 3 does manage to be better than the other two entries but it still is a largely dull feature. The problem this time is that the ideas with potential are never used well, the action sequences are routine and the name cast such as McDowell, Katt and Galligan are given little to do. Haje is indeed a whiny heroine and Lynch is too over the top(as usual) and the film lacks the inspiration or ambition to be as fun-bad as it's hilarious predecessor. (The one with Van Damme, the second one is just dull.) Also disappointing is the science fiction angle which almost aggressively resists any good idea it has. As an action flick this is routine and by the numbers B-movie stuff and it is competently made, that's the only thing positive I can say about it.<br /><br />*1/2 out of 4-(Poor)",negative
39834,"I cant understand at all why so many Godzilla fans think this is excellent, one of the best Godzilla films ever in fact. This film is horrible and one of the very few Gojira films I cant stand to watch again (the other being G. vs Megalon).<br /><br />The plot is too campy to be in the Heisei series, a series that attempted to turn the aging Godzilla franchise into bonafide action films, revolving around ideas that seemed more in place in 1974 than 1991. It just sounded ridiculous, especially with some of the subject matter, take for example the WW2 scene, with the Japanese soldiers praising a dying Godzillasaurus, a mournful and serious tone, take the exuberant former commander turn capitalist and his death, serious seens in a film its fans somehow denote as played for laughs, as a goofy romp with guilty illogical fun, if so than this is easily one of the most tasteless films I've seen, however I think its more likely it was only talent the filmmakers lacked and this was a case of a straight faced action movie gone bad. It was made ever worse by the fact that the special effects are terrible beyond compare, from the jet packs to the android, to the hokey sound effects emitted from everything, its impossible to take anything seriously, and yet the film expects you to, there's no nudges to the camera.<br /><br />Like nearly all Godzilla films there's a pointless romance, and this is no exception, though something can be said about the fact that this one is especially pointless since and inexplicable. There is literally no reason at all presented for the romance, it just happens and there lives make 360 degree commitments for it. Aside from this the other terrible aspect of this film is dialogue, both the Japanese and English is horrible, clunky and possibly the inspiration for Battlefield Earth.<br /><br />The Tristar DVD compounds the problems, making everything look grainy, blurred, dim and just plain ugly, the same was for the sound. I first saw the Japanese Region 2 version and the differences are night and day, with the original vibrant colors and texture, the noteworthy score, the fight scenes especially, are actually watchable.<br /><br />In my opinion, the Heisei series is a disappointment, with the exception of Godzilla 1984 (Japanese version) there is little to praise here, and Godzilla vs. King Ghidorah is case in point of this failure. It doesn't even come close to deserving the reputation and fans it gets.<br /><br />2 out of 10",negative
15798,"As a rule, there are few things more dispiriting than Hollywood's attempts to be courageous. Mixing caution with heavy-handedness, ""message movies"" pat themselves loudly on the back for daring to tackle major problems. CROSSFIRE is not entirely free from this taint; it includes a sermon on the nature of senseless hatred that is embarrassingly obvious, assuming a level of naivity in its audience that's depressing to contemplate. As late as 1947, it was a big deal for a movie to announce that anti-Semitism existed, and that it was bad. (It was unthinkable, of course, for Hollywood to address the real subject of the book on which the movie was basedits victim was a homosexual.) Nevertheless, thanks to good writing and excellent acting, CROSSFIRE remains a persuasive examination of what we would now call a hate crime.<br /><br />Postwar malaise was one of the major components of film noir, and CROSSFIRE addresses it directly. The film is set in Washington, D.C. among soldiers still in uniform but idle, spending their days playing poker and bar-crawling. Joseph Samuels (Sam Levene), an intelligent and kindly Jew, explains that the end of the war has created a void: all the energy that went into hating and fighting the enemy is now unfocused and bottled up. Samuels meets three soldiers in a bar: the sensitive Mitchell, who is close to a nervous breakdown, the weak-willed Floyd Bowers, and Montgomery, a tall, overbearing bully who nastily belittles a young soldier from Tennessee as a stupid hillbilly. The three soldiers wind up at Samuels' apartment, where the drunken Monty becomes increasingly abusive, calling his host ""Jew-boy."" Samuels is beaten to death, and Mitchell disappears, making himself the prime suspect for the killing.<br /><br />Unraveling the crime are Detective Finlay (Robert Young), dry and by-the-book, and Sergeant Keeley (Robert Mitchum), a thoughtful and experienced friend who knows Mitchell is incapable of murder. Among the pieces of the puzzle are Ginny (Gloria Grahame), a nightclub hostess who met Mitchell and gave him her apartment key, and Floyd (Steve Brodie), who as a witness to the crime holes up terrified in a seedy rooming house. While there is no real ""whodunit"" suspense, the story remains gripping, and the trap laid for the killer is extremely clever.<br /><br />The strong noir atmosphere saves the movie from feeling didactic or sanctimonious. The cinematography is a striking shadow-play, with inky darks and harsh lights, rooms often lit by a single lamp filtered by cigarette smoke. World-weariness is as pervasive as noir lighting. ""Nothing interests me,"" Finlay says quietly; ""To nothing,"" is Ginny's toast in the nightclub. Gloria Grahame, the paragon of noir femininity, nearly steals the movie with her two scenes. Platinum-blonde, jaded and caustic, she's the quintessential B-girl, poisoned by the ""stinking gin mill"" where she works (""for laughs,"" she says bitterly), her sweet face curdling when Mitchell tells her that she reminds him of his wife. Now and then a wistful kindness peeks through her defensive shell, as when she dances with Mitchell in a deserted courtyard, then offers to cook him spaghetti at her apartment. When he goes there, he meets a weasely, crumple-faced man (Paul Kelly) who seems to sponge off Ginny, and whose conversation is a dense layering of lies and false confessions. Gloria blows Mitchell's good-girl wife off the screen in a scene where she's asked to give Mitchell an alibi. Slim and frail in her bathrobe, with her girlish lisp, she lets us see just how often Ginny has been insulted and dismissed as a tramp.<br /><br />Robert Young is a nondescript actor, and he stands no chance against Mitchum's charisma, but he does a good job of keeping his pipe-smoking character, saddled with delivering the movie's earnest message, this side of pompousness. Mitchum, meanwhile, gets some cool dialogue, but not nearly enough to do; still, even when he's doing nothing but lounging in a corner you can't take your eyes off him. The third Robert, Ryan, creates a fully shaded and frighteningly convincing portrait of an ignorant, unstable bigot; we see his phony geniality, his bullying, his resentment of anyone with advantages, his ""Am I right or am I right?"" smugness; how easily he slaps labels on people and what satisfaction he gets from despising them.<br /><br />CROSSFIRE's message seems cautious and dated now, though not nearly so much as the same year's A GENTLEMAN'S AGREEMENT. Finlay's speech about bigotry cops out by reaching back a hundred years for an instance of white victimhood, reminding us that Irish Catholics were once persecuted; next it could be people from Tennessee, he says, or men who wear striped neckties. Or maybe blacks, or Japanese, or homosexuals, or communists? The script seems afraid to mention any real contemporary problems. It sweetens its message by making the Jewish victim saintly, as though his innocence were not sufficient; and it takes care to exonerate the military, having a superior officer declare that the army is ashamed of men like Montgomery, and stressing that Samuels served honorably in the war. Still, it did take some guts to depict, immediately after World War II, an American who might have been happier in the Nazi army, and the movie's basic premise is still valid. If Monty were alive today, he would have gone out on September 12, 2001, and beat up a Sikh.",positive
33960,"I am surprised by the relatively low rating this film has. It is a screwball comedy & romance film rolled together by someone besides Billy Wilder but it does a really good job & even won an Oscar.<br /><br />It is Ingrid Bergman's first film in the US since the 1950's & even though she is no longer the young bombshell she was in her early films, she brings off a difficult role quite handsomely. This film proves she had multiple talents beyond her good looks.<br /><br />Goldie Hawn who won an Oscar in this, her first film, as supporting actress is very good as the modern sophisticated yet quirky latest mistress to Dentist playboy, love them & leave them Walter Mathaw. Goldie is delightful to all the senses in this role which with a great cast set her up as a slam dunk for this early career award.<br /><br />This film is not real deep, but is a gem that has stood the test of time very well. Not sure why it's average is so low as I give it a solid 8.",positive
6636,"I walked out of this movie and I did this only one time before with the Australian movie Sweetie close to 20 years ago. After about three minutes I felt like killing the camera man and just couldn't believe that this film actually showed anywhere and- guess what - was nominated for two independent Spirit Awards. What???? Regardsless how realistic the dialog might be (I will NEVER use the word ""dude"" again!) -who wants to listen to these conversations? I don't go to the movies to be annoyed but that's all I got. The only good thing I came away with was the realization that if this movie can make it to Sundance and other festivals, anybody can. Well, wait, that might not be a good thing after all...",negative
7994,"The whole shorthand for supposedly being more aware in this weird time is that you are ""Blue"". The Blue State mentality. This is supposed to get us off the hook for what is/was happening during the last few years in our country (The USA). It doesn't get anyone off the hook but it makes us feel better, as though we aren't benefiting in any way from living here and getting all the good stuff that a US citizen gets just by being a US citizen. <br /><br />But I'm so sick of bitching about this. It doesn't do any good. I haven't taken much action lately and I wonder how many people have. Maybe I'm just down because my job was ""outsourced"" last month and now I'm looking for work in the shrinking tech support field where most of the jobs are quickly going to India and other places overseas. I'm thinking that soon it's not going to pay off to be a citizen here with the screwed up infrastructure and the shrinking job market and the obsession with war. These days it seems like anyone who speaks out gets jumped and questioned about there ""patriotism"". Anyway, back to this review: USA The Movie is an obscure DVD that makes me realize that some people have taken action, whether it's through politics, protesting or arts or media. The filmmaker is obviously passionate, knowledgeable, willing to go outside the norm, frustrated, unique, astute etc. <br /><br />I looked through the whole site that's linked to the DVD and got lost in all the articles, essays etc.that are there. The DVD does that too, has references to different times, views and historical points. Sometimes someone does something out there.",positive
